Name,Tags,Приоритет
ФИКС: добавить праву доступа “кот” возможность внесения в групповой бейдж,Админка,Сделано
Возможность добавлять кастомные поля в карточку волонтёра,Админка,Сделано
Накатить на кормитель новый дизайн,кормитель,Сделано
Накатить новый дизайн на мобильную админку,Мобилка,Сделано
Навигационное меню снизу для мобильной админки,Админка,Сделано
В статистике кормителя должна учитываться только эта кухня,кормитель,Сделано
Новая структура данных,Админка,Сделано
ФИКС: выгрузка в эксель истории питания из карточки волонтера,Админка,Сделано
Добавить столбец “на поле”,Админка,Сделано
По умолчанию в множественных заездах установить тип добиралова “не определен”,Админка,Сделано
Переименовать “направления” из левого меню в “службы/направления”,Админка,Сделано
В статистику админки добавить деление по кухням,Админка,Сделано
ФИКС: задвоен выпадающий список способов добиралова,Админка,Сделано
ФИКС: закрыть возможность смены категории кастомного поля,Админка,Сделано
ФИКС: кнопка сортировки списка кастомных полей,Админка,Сделано
Обратная синхронизация в ноушен,,Сделано
"в админке возможность отфильтровать волонтёров, ни разу не поевших за сутки",Админка,Сделано
"сделать функцию удаления не только всего бейджа, но и одного человека из бейджа",,Сделано
"Сделать валидацию в карточке волонтёра, то есть предупреждение, если дата ""от"" позднее, чем ""до"" и если кнопка ""сохранить"" нажимается, а галочка ""активировать"" не стоит.",,Сделано
Показывать окно подтверждения при сохранении неактивированного пользователя,,Сделано
Кнопку “редактировать” в строке волонтеров в списке волонтеров в админке перенести первым столбцом,,Сделано
Сканирование бейджа кормителем,кормитель,Сделано
Уменьшить ширину столбцов “активирован” и “заблокирован” в списке волонтеров в админке,,Сделано
Добавить столбец “цвет бейджа” в выгрузку списка волонтёров,,Сделано
Вход по пин-коду,кормитель,Сделано
Заменить формат даты в карточке волонтера на дд.мм.гггг,,Сделано
Добавить возможность члену группового бейджа 1 раз в день кормиться по личному бейджу даже после получения групповой порции,,Сделано
"Заменить коды цветов экранов кормителя ",,Сделано
"Добавить на зеленое/желтое окно сканирования волонтёра, веган он или мясоед",,Сделано
"Сменить зеленое окно на синее, если категория питания ""ребенок""",,Сделано
Масштабировать верстку кормителя под открытие приложения в мобильном браузере,,Сделано
Внизу в окне сканирования 3 числа - число людей на поле - покормлено в этот прием пищи - сколько осталось покормить,,Сделано
групповой бейдж,,Сделано
Админка: прогноз числа людей на поле по двум исходникам - фактически активированные бейджи и планируемые даты активности,,Сделано
"Админка: статистика - аналогично кухне + возможность посмотреть как назад, так и прогноз",,Сделано
Админка - история питания заменить “веган-да/нет” на “питание-мясоед/веган”,,Сделано
"скорректировать формулу для прогноза: приезжающих учитывать с обеда, а уезжающих - только в завтрак и обед",,Сделано
"история кормления в админке, подробный лог плюс в поле REASON в логе истории кормлений вписывать причину нештатного кормления в долг. Если штатное кормление поле оставлять пустым",,Сделано
привязка пустого бейджа к волонтеру (через сканирование),,Сделано
"у фри кормление должно быть четко четыре раза в сутки(завтрак, обед, ужин, дожор). вместо какого-то из приемов пищи можно покормить человека в долг, если возникла проблема.",,Сделано
"кормление платников -  должно быть четко три раза(завтрак, обед, ужин), платники не должны питаться в долг совсем",,Сделано
В повторном сканировании “человек уже получал прием пищи” сменить сценарий на красный экран,,Сделано
"деплой на машину, которая поедет на фестиваль",,Сделано
в админке фильтрация волонтеров по локации,,Сделано
Номер на бейджах,,Сделано
Добавить обязательность полей в админке в т.ч. “дата”. у даты убрать время и запись без нажатия на “ок”,,Сделано
Добавить ограничение- у платников не должно быть “кормление в долг”,,Сделано
"в таблице нужна возможность сортировки по фамилии, службе, датам, и, желательно, фильтрации по службе. нужна возможность выставления и снятия в таблице флажков активации",,Сделано
Баг с прошедшими датами в сканере,,Сделано
Ограничить возможность уходить в минус по числу кормёжек до -1,,Сделано
кормление через админку (флаг питания в доке),,Сделано
Цветовая дифференциация окна волонтера соответствует ТЗ,,Сделано
В случае желтого/красного окна в кормителе - наименование проблемы,,Сделано
При выставлении флага кормёжки в админке кормитель на кухне видит человека покормленным,,Сделано
"вместо флага ""деть"" перенос типа питания их ноушен, деть имеет право есть на любой кухне",,Сделано
запрет нескольких кормлений подряд (одно в прием пищи),,Сделано
